,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
0,Xiaomi Mi 9T (2019) | Glacier Blue | With Official Warranty,https://hummart.com/xiaomi-mi-9t-2019-glacier-blue-with-official-warranty-6-gb-128-gb-sl.html,"https://hummart.com/media/catalog/product/m/i/mixiomi9tblue128gb.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",62000,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
27,Huawei Y7 Prime 2019 | Blue | With Official Warranty,https://hummart.com/huawei-y7-prime-2019-blue-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/m/p/mphuay7prime2019blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",28999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
28,Samsung A20 (2019) | Blue | With Official Warranty,https://hummart.com/samsung-a20-2019-blue-with-official-warranty-3-gb-32-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama202019blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",28500,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
29,Huawei P30 | Aurora | With Official Warranty,https://hummart.com/huawei-p30-with-official-warranty-8-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mphuap30pro.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",89999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
30,Samsung A20 (2019) | Black | With Official Warranty,https://hummart.com/samsung-a20-2019-black-with-official-warranty-3-gb-32-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama202019black.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",28500,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
31,Nokia 1+ | Black | With Official Warranty,https://hummart.com/nokia-1-black-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia1pblack_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",11600,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
32,Nokia 1+ | Red | With Official Warranty,https://hummart.com/nokia-1-red-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia1pred_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",11600,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
33,Huawei P30 | Breathing Crystal | With Official Warranty,https://hummart.com/huawei-p30-breathing-crystal-with-official-warranty-8-gb-128-gb.html,"https://hummart.com/media/catalog/product/1/6/165053_18.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",89999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
34,Nokia 1+ | Blue | With Official Warranty,https://hummart.com/nokia-1-blue-with-official-warranty-3-gb-64-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia1pblue_1.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",11600,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
35,Nokia 2.1 Dual Sim | Blue/Copper | With Official Warranty,https://hummart.com/nokia-2-1-dual-sim-blue-copper-with-official-warranty-1-gb-8-gb.html,"https://hummart.com/media/catalog/product/n/o/nokia21dsbluecopper.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",12600,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
36,Samsung A50 (2019) | Blue | With Official Warranty,https://hummart.com/samsung-a50-2019-blue-with-official-warranty-4-gb-128-gb.html,"https://hummart.com/media/catalog/product/m/p/mpsama502019blue.jpg?width=300&height=300&canvas=300:300&quality=80&bg-color=255,255,255&fit=bounds",48999,-1,MOBILES TABLETS & LAPTOPS,Hum Mart
