,Unnamed: 0,Product Name,Product Page,Product Image,Price,Discount Price,Category,Site
20,20.0,Ray Ban RB3025 Aviator Sunglasses Gold Frame/Pink Mirror Lens 55 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-gold-frame-pink-mirror-lens-55-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_frame_pink_mirror_lens_55mm.jpg,"Rs 26,499",None,Fashion,Shophive
21,21.0,Ray Ban RB3025 Aviator Sunglasses Matte Gold Frame/Brown Mirror Gold Lens 55 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-matte-gold-frame-brown-mirror-gold-lens-55-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/m/a/matte_gold_frame_brown_mirror_gold_lens55mm.jpg,"Rs 32,499",None,Fashion,Shophive
22,22.0,Ray Ban RB3025 Aviator Sunglasses Silver Frame/Gray Mirror Lens 55 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-silver-frame-gray-mirror-lens-55-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/s/i/silver_frame_gray_mirror_lens_55mm.jpg,"Rs 27,999",None,Fashion,Shophive
23,23.0,Ray-Ban RB3025 Aviator Sunglasses 004/58 Gunmetal (Crystal Green Polarized Lens) ,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-004-58-gunmetal-crystal-green-polarized-lens,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/0/0/00458_gunmetal_crystal_green_polarized_lens_.jpg,"Rs 18,369",None,Fashion,Shophive
24,24.0,Ray-Ban RB3025 Aviator Sunglasses Black Frame/Green Polarized Lens 58 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-black-frame-green-polarized-lens-58-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/b/l/black_frame_green_polarized_lens58mm.jpg,"Rs 20,129",None,Fashion,Shophive
25,25.0,Ray-Ban RB3025 Aviator Sunglasses Gold Frame/Blue Polarized Lens 58 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-gold-frame-blue-polarized-lens-58-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_frame_blue_polarized_lens_58mm_1.jpg,"Rs 19,139",None,Fashion,Shophive
26,26.0,Ray-Ban RB3025 Aviator Sunglasses Gold Frame/Green & Grey Polarized Lens 62 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-gold-frame-green-grey-polarized-lens-62-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/o/gold_frame_green_grey_polarized_lens_62_mm.jpg,"Rs 18,039",None,Fashion,Shophive
27,27.0,Ray-Ban RB3025 Aviator Sunglasses Gunmetal Frame/Crystal Green Polarized Lens 62 mm,https://www.shophive.com/ray-ban-rb3025-aviator-sunglasses-gunmetal-frame-crystal-green-polarized-lens-62-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/g/u/gunmetal_framecrystal_green_polarized_lens62mm.jpg,"Rs 17,929",None,Fashion,Shophive
28,28.0,Ray-Ban 0RB4175 Square Sunglasses Black Frame/Green Solid Lens 57 mm,https://www.shophive.com/ray-ban-0rb4175-square-sunglasses-black-frame-green-solid-lens-57-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/b/l/black_frame_green_solid_lens_2.jpg,"Rs 16,829",None,Fashion,Shophive
29,29.0,Ray-Ban 0RB4175 Square Sunglasses Demi Shiny Havana Frame/Brown Gradient Lens 57 mm,https://www.shophive.com/ray-ban-0rb4175-square-sunglasses-demi-shiny-havana-frame-brown-gradient-lens-57-mm,https://www.shophive.com/media/catalog/product/cache/1/small_image/165x/9df78eab33525d08d6e5fb8d27136e95/d/e/demi_shiny_havana_frame_brown_gradient_lens_1.jpg,"Rs 15,069",None,Fashion,Shophive
